Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Male,Loyal Customer,34,Personal Travel,Eco,3185,5,4,1,4,1,4,4,3,2,3,1,3,3,0,0,FALSE
Male,Loyal Customer,48,Personal Travel,Business,484,5,3,3,5,3,4,4,3,2,5,3,1,3,0,4,TRUE
Female,Loyal Customer,28,Personal Travel,Eco,1768,0,1,2,2,4,2,3,3,3,1,5,1,4,0,0,FALSE
Female,Loyal Customer,23,Business travel,Eco,1776,0,3,0,3,1,5,4,5,4,4,1,3,1,0,5,TRUE
Male,disloyal Customer,48,Business travel,Business,1632,0,1,3,5,1,4,5,1,4,3,1,3,2,0,0,FALSE
Male,Loyal Customer,21,Business travel,Eco Plus,3129,0,1,2,2,2,2,5,2,1,2,2,4,4,73,78,FALSE
Female,Loyal Customer,13,Business travel,Eco Plus,2736,4,0,2,5,3,1,3,4,4,1,3,1,3,0,0,FALSE
Female,Loyal Customer,44,Personal Travel,Eco Plus,3467,2,4,3,5,5,2,1,4,1,3,5,1,5,0,0,FALSE
Male,Loyal Customer,37,Personal Travel,Eco Plus,1677,3,2,5,5,3,1,3,1,3,1,3,5,4,0,0,FALSE
Female,Loyal Customer,51,Personal Travel,Eco Plus,1420,4,5,0,3,4,5,4,3,2,5,4,1,4,0,0,TRUE
Female,Loyal Customer,69,Personal Travel,Eco Plus,3288,1,1,1,1,4,3,1,5,5,5,4,1,3,0,7,FALSE
Male,Loyal Customer,62,Personal Travel,Business,1942,2,5,5,2,1,4,5,3,4,2,1,5,2,40,41,FALSE
Female,Loyal Customer,45,Business travel,Eco Plus,3301,4,4,3,2,3,2,5,2,3,1,3,4,3,0,0,FALSE
Female,Loyal Customer,19,Business travel,Eco Plus,2252,0,1,3,3,2,1,4,1,4,5,2,3,2,0,6,FALSE
Male,Loyal Customer,68,Personal Travel,Business,2812,1,0,2,4,3,2,4,4,5,1,3,1,1,0,0,FALSE
Female,Loyal Customer,27,Personal Travel,Eco Plus,649,3,5,4,4,1,1,1,4,5,5,1,1,5,0,0,FALSE
Female,Loyal Customer,48,Business travel,Eco,2487,5,5,0,5,2,3,1,5,5,5,4,5,5,3,13,FALSE
Male,Loyal Customer,32,Business travel,Business,216,2,1,5,1,2,5,3,2,1,3,3,5,3,0,9,FALSE
Female,Loyal Customer,60,Personal Travel,Eco,3082,2,1,0,2,3,1,3,3,5,4,4,5,4,0,1,FALSE
Female,Loyal Customer,58,Personal Travel,Business,1509,2,3,3,4,2,4,3,2,4,4,3,3,5,0,8,FALSE
Male,Loyal Customer,61,Personal Travel,Business,1353,0,2,5,3,2,3,4,5,4,2,3,4,3,0,6,TRUE
Female,Loyal Customer,59,Personal Travel,Eco,2899,4,5,5,2,4,1,2,5,4,1,4,2,1,0,6,FALSE
Female,disloyal Customer,11,Personal Travel,Business,1992,3,0,4,2,3,5,3,4,3,3,3,2,1,0,10,TRUE
Female,disloyal Customer,16,Business travel,Eco Plus,3033,4,2,5,4,4,2,1,2,1,4,4,2,4,0,6,FALSE
Male,Loyal Customer,27,Business travel,Eco,3065,4,1,0,2,2,2,2,4,1,3,2,5,5,48,47,FALSE
Male,Loyal Customer,34,Business travel,Business,1832,0,1,2,1,5,4,4,5,3,2,4,5,5,0,8,TRUE
Male,disloyal Customer,42,Personal Travel,Eco Plus,824,5,1,2,5,2,3,1,3,2,5,2,3,2,0,0,FALSE
Male,Loyal Customer,46,Personal Travel,Eco,2848,2,4,0,1,5,1,1,5,3,2,5,5,4,0,10,FALSE
Female,Loyal Customer,28,Business travel,Eco,3446,3,0,5,1,4,2,4,4,4,4,4,2,3,0,5,TRUE
Female,Loyal Customer,64,Business travel,Eco Plus,685,4,0,2,2,5,4,1,3,4,2,3,2,1,0,7,FALSE
Female,Loyal Customer,64,Personal Travel,Eco Plus,2516,1,3,4,4,3,4,3,4,1,1,3,4,5,0,1,TRUE
Female,Loyal Customer,27,Business travel,Business,2829,4,0,0,4,4,2,3,3,4,3,4,1,4,0,6,FALSE
Female,Loyal Customer,41,Business travel,Business,1295,0,1,0,4,5,3,3,5,3,2,5,2,5,66,62,TRUE
Male,Loyal Customer,54,Business travel,Eco Plus,2277,4,4,1,3,4,5,3,2,4,5,4,3,5,44,48,FALSE
Female,disloyal Customer,32,Business travel,Business,598,2,5,5,1,5,5,4,3,5,5,4,2,1,75,75,TRUE
